Date,Weight,Nutrition,Exercise,Sleep,Hygiene,Food
,,Cod Liver Oil,60 Lateral Raises,,,
,,5 Brazil Nuts,60 Kettle Twists,,,
,146.0,2 Black Coffee,60 Bicep Curls,07:00:00,,
,,3 Electrolyte Drink,60 Shoulder Press,22:00:00,,
,,2 Brazil Nuts,60 Kettle Twists,,,
,,Chicken Wings,12300 steps,,,
,144.2,2 Black Coffee,60 Bicep Curls,07:00:00,,
,,Rajma Gravy,12500 steps,,,
,,Paneer Matar Masala,,,,
,,Potato Gravy,,,,
,143.8,Black Coffee,60 Bicep Curls,07:00:00,,
,,8 Brazil Nuts,60 Kettle Twists,,,
,,3 BBQ Chicken Skewers,,,,
,145.0,2 Black Coffee,100 Bicep Curls,07:00:00,,
,,3 Electrolyte Drink,100 Shoulder Press,22:00:00,,
,,3 Brazil Nuts,60 Kettle Twists,,,
,,Chicken Gravy,14000 steps,,,
,143.6,2 Black Coffee,60 Bicep Curls,07:00:00,,
,,Chicken Gravy,11700 steps,,,
,,Chicken Goujon,,,,
,,4 Mutton Chops,,,,
,144.2,Black Coffee,100 Bicep Curls,07:00:00,,
,,2 Electrolyte Drink,100 Shoulder Press,22:30:00,,
,142.2,2 Black Coffee,60 Bicep Curls,06:30:00,,
,,Chicken Gravy,10600 steps,,,
,,Vitamin Water,,,,
,,2 Veggie Crunch,,,,
,,Chicken Bites,,,,
,,Cookie Protein Bar,,,,
,143.4,Black Coffee,60 Bicep Curls,09:00:00,,
,,30 Almonds,60 Single Arm Row,,,
,,Chicken Gravy,13400 steps,,,
,,Pizza,,,,
,144.0,Black Coffee,100 Bicep Curls,08:00:00,,
,,6 Chicken Drumsticks,100 Punch,,,
,,,15600 steps,,,
,142.8,2 Black Coffee,60 Bicep Curls,07:00:00,,
,,2 Electrolyte Drink,60 Shoulder Press,22:30:00,,
,,Cod Liver Oil,60 Lateral Raises,,,
,,35 Almonds,60 Single Arm Row,,,
,,30 Cashews,60 Kettle Twists,,,
,,3 Brazil Nuts,60 Kettle Swings,,,
,,Spinach,20200 steps,,,
,,6 Chicken Drumsticks,,,,
,143.6,Black Coffee,100 Bicep Curls,07:00:00,,
,,2 Electrolyte Drink,60 Shoulder Press,22:00:00,,
,,Cod Liver Oil,60 Lateral Raises,,,
,,70 Cashews,60 Single Arm Row,,,
,,20 Almonds,60 Kettle Twists,,,
,,Spinach and Kale,60 Kettle Swings,,,
,,Chicken Gravy,11200 steps,,,
,143.4,Black Coffee,60 Bicep Curls,07:00:00,,
,,Electrolyte Drink,60 Shoulder Press,22:00:00,,
,,Cod Liver Oil,60 Lateral Raises,,,
,,20 Almonds,60 Single Arm Row,,,
,,Spinach and Kale,60 Kettle Twists,,,
,,Fanta Apple Flavour,10000 steps,,,
,,Sprite Zero,,,,
,142.8,2 Black Coffee,80 Bicep Curls,07:00:00,,
,,2 Electrolyte Drink,60 Shoulder Press,22:00:00,,
,,Cod Liver Oil,60 Lateral Raises,,,
,,43 Almonds,60 Single Arm Row,,,
,,Spinach and Kale,60 Kettle Twists,,,
,,Chicken Gravy,80 Kettle Swings,,,
,142.0,2 Black Coffee,60 Bicep Curls,07:00:00,,
,,2 Electrolyte Drink,60 Shoulder Press,22:00:00,,
,,Cod Liver Oil,60 Lateral Raises,,,
,141.8,Black Coffee,60 Bicep Curls,07:00:00,,
,,3 Electrolyte Drink,60 Shoulder Press,22:00:00,,
,,Cod Liver Oil,60 Lateral Raises,,,
,,25 Almonds,60 Single Arm Row,,,
,,Spinach and Kale,60 Kettle Twists,,,
,,6 Chicken Drumsticks,60 Kettle Swings,,,
,,Veggie Protein Crunch,15400 steps,,,
,140.2,2 Black Coffee,100 Bicep Curls,07:00:00,,
,,3 Electrolyte Drink,100 Shoulder Press,22:00:00,,
,,Cod Liver Oil,100 Lateral Raises,,,
,,45 Almonds,60 Single Arm Row,,,
,,Spinach,60 Kettle Twists,,,
,,Vitamin Water,16300 steps,,,
,140.6,2 Black Coffee,60 Bicep Curls,07:30:00,,
,,3 Electrolyte Drink,60 Shoulder Press,23:59:00,,
,,Cod Liver Oil,60 Lateral Raises,,,
,,,10800 steps,,,
,140.0,Black Coffee,100 Bicep Curls,06:00:00,,
,,3 Electrolyte Drink,100 Shoulder Press,22:00:00,,
,,,10900 steps,,,
,139.8,2 Black Coffee,60 Bicep Curls,08:05:00,,
,,3 Electrolyte Drink,60 Shoulder Press,22:30:00,,
,,Cod Liver Oil,60 Lateral Raises,,,
,,20 Almonds,60 Single Arm Row,,,
,,Spinach,60 Kettle Twists,,,
,,Curd,60 Kettle Swings,,,
,,Chicken Gravy,13600 steps,,,
,139.6,Black Coffee,60 Bicep Curls,06:20:00,,
,,Electrolyte Drink,60 Shoulder Press,22:00:00,,
,,Cod Liver Oil,60 Lateral Raises,06:45:00,,
,,20 Almonds,60 Single Arm Row,10:00:00,,
,,Spinach,60 Kettle Twists,,,
,,Curd,60 Kettle Swings,,,
,,Chicken Gravy,12400 steps,,,
,,7 up pink,,,,
,,Nankhatai,,,,
,,Siu Mai Dumplings,,,,
,140.0,2 Black Coffee,60 Bicep Curls,Wake up: 06:00,,
,,2 Electrolyte Drink,60 Shoulder Press,Eating start: 06:30,,
,,Cod Liver Oil,60 Lateral Raises,Eating end: 11:00,,
,,20 Almonds,60 Single Arm Row,Sleep: 22:45,,
,,1 Mutton Chops,14600 steps,,,
,138.6,Black Coffee,60 Bicep Curls,Wake up: 06:00,,
,,2 Electrolyte Drink,60 Shoulder Press,Eating start: 06:00,,
,,Cod Liver Oil,60 Lateral Raises,Eating end: 20:30,,
,,65 Almonds,60 Single Arm Row,Sleep: 22:00,,
,,Spinach,60 Kettle Twists,,,
,,4 Mutton Chops,60 Kettle Swings,,,
,,Vitamin Water,12000 steps,,,
,,Vegetable Dumplings,,,,
,,Miso Soup,,,,
,140.6,2 Black Coffee,60 Bicep Curls,Wake up: 6:00,,
,,3 Electrolyte Drink,60 Shoulder Press,Eat start: 8:00,,
,,Cod Liver Oil,60 Lateral Raises,Eat end: 13:00,,
,,20 Almonds,60 Single Arm Row,!Sleep: 22:00,,
,,7 up pink,12500 steps,,,
,138.6,,60 Bicep Curls,06:00:00,Brush,Cod Liver Oil
