Date,Weight,Nutrition,Exercise,source_file,source_sheet
2025-06-07,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Wealth.xlsx,Expenditure
2025-08-29,,Electrolyte Drink,100 Bicep Curls,C:\Users\anbal\Downloads\the end of road\Health.xlsx,Health
2025-09-17,130.6,2 Black Coffee,60 Bicep Curls,C:\Users\anbal\Downloads\The FALL\Health.xlsx,Health
2025-09-17,,,,C:\Users\anbal\Downloads\The FALL\Relationship.xlsx,Relationship
2025-09-17,,,,C:\Users\anbal\Downloads\The FALL\Wealth.xlsx,Expenditure
2025-10-23,130.4,3 Electrolyte Drink,120 Bicep Curls,C:\Users\anbal\Downloads\TIRED\Sairam Anbalagan.xlsx,Health
2025-10-24,128.8,Electrolyte Drink,120 Bicep Curls,C:\Users\anbal\Downloads\TIRED\Sairam Anbalagan.xlsx,Health
2025-08-26,130,3 Black Coffee,100 Bicep Curls,C:\Users\anbal\Downloads\TOO RICH\Health.xlsx,Health
2025-08-27,129,Black Coffee,100 Bicep Curls,C:\Users\anbal\Downloads\TOO RICH\Health.xlsx,Health
2025-08-26,,,,C:\Users\anbal\Downloads\TOO RICH\Relationship.xlsx,Sheet1
2025-08-26,,,,C:\Users\anbal\Downloads\TOO RICH\Wealth.xlsx,Expenditure
2025-10-08,133.2,2 Electrolyte Drink,60 Bicep Curls,C:\Users\anbal\Downloads\very important\Sairam Anbalagan.xlsx,Health
2025-08-05,128.6,4L water,100 Bicep Curls,C:\Users\anbal\Downloads\wasteoftime\Health.xlsx,Health
2025-08-05,,,,C:\Users\anbal\Downloads\wasteoftime\Hobby.xlsx,Mobile Gaming
2025-07-29,130.4,4L water,100 Bicep Curls,C:\Users\anbal\Downloads\wow gmaeee\Health.xlsx,Health
2025-07-30,,,100 Bicep Curls,C:\Users\anbal\Downloads\wow gmaeee\Health.xlsx,Health
2025-07-29,,,,C:\Users\anbal\Downloads\wow gmaeee\Hobby.xlsx,Mobile Gaming
2025-07-29,,,,C:\Users\anbal\Downloads\wow gmaeee\Wealth.xlsx,Expenditure
2025-08-19,129.8,2 Electrolyte Drink,100 Bicep Curls,C:\Users\anbal\Downloads\xdewakl\Health.xlsx,Health
2025-08-28,128.6,Electrolyte Drink,100 Bicep Curls,C:\Users\anbal\Downloads\xx512\Health.xlsx,Health
2025-11-08,128.6,2 Electrolyte Drink,60 Bicep Curls,C:\Users\anbal\Downloads\youtube clash royale hijack\Health\Health.xlsx,Health
2025-11-09,130.8,2 Electrolyte Drink,60 Bicep Curls,C:\Users\anbal\Downloads\youtube clash royale hijack\Health\Health.xlsx,Health
2025-12-06,,,,C:\Users\anbal\Downloads\yenkone\Health\Health.xlsx,Health
2025-08-04,,,,C:\Users\anbal\Downloads\whathaveigotteninto\Hobby\Hobby.xlsx,PC Gaming
2025-09-29,,,,C:\Users\anbal\Downloads\TRASH\Health\Health.xlsx,Hygiene
2025-09-29,,,,C:\Users\anbal\Downloads\TRASH\Relationship\Relationship.xlsx,Relationship
2025-07-25,,,,C:\Users\anbal\Downloads\this is wayyy failure\Y0\Hobby.xlsx,Manga
2025-07-26,,,,C:\Users\anbal\Downloads\this is wayyy failure\Y0\Hobby.xlsx,Manga
2025-07-27,,,,C:\Users\anbal\Downloads\this is wayyy failure\Y1Q1\Expenditure.xlsx,Expenditure
2025-07-27,130.8,8L water,100 Bicep Curls,C:\Users\anbal\Downloads\this is wayyy failure\Y1Q1\Health.xlsx,Health
2025-07-27,,,,C:\Users\anbal\Downloads\this is wayyy failure\Y1Q1\Hobby.xlsx,Mobile Gaming
2025-11-26,,,,C:\Users\anbal\Downloads\THIS IS FINAL FAILURE\Career\Career.xlsx,Job Application
2025-11-27,,,,C:\Users\anbal\Downloads\THIS IS FINAL FAILURE\Career\Career.xlsx,Job Application
2025-11-26,129.6,2 Electrolyte Drink,60 Bicep Curls,C:\Users\anbal\Downloads\THIS IS FINAL FAILURE\Health\Health.xlsx,Health
2025-11-27,129.6,Electrolyte Drink,,C:\Users\anbal\Downloads\THIS IS FINAL FAILURE\Health\Health.xlsx,Health
2025-11-05,131.2,Electrolyte Drink,120 Bicep Curls,C:\Users\anbal\Downloads\THIS IS END\Health\Health.xlsx,Health
2025-10-14,127.2,2 Electrolyte Drink,60 Bicep Curls,C:\Users\anbal\Downloads\THE CYCLE CONTINOUES\Health\Health.xlsx,Health
2025-10-14,,,,C:\Users\anbal\Downloads\THE CYCLE CONTINOUES\Relationship\Relationship.xlsx,Relationship
2025-10-14,,,,C:\Users\anbal\Downloads\THE CYCLE CONTINOUES\Wealth\Wealth.xlsx,Expenditure
2025-08-11,,,,C:\Users\anbal\Downloads\tenrifis\Hobby\Hobby.xlsx,PC Gaming
2025-11-22,126.4,2 Electrolyte Drink,60 Bicep Curls,C:\Users\anbal\Downloads\Tamilakam\Health\Health.xlsx,Health
2025-11-22,,,,C:\Users\anbal\Downloads\Tamilakam\Mental Health\Mental Health.xlsx,Addiction
2025-12-08,,,,C:\Users\anbal\Downloads\systemmmm\Hobby\Hobby.xlsx,TV Series
2025-11-02,130.6,Electrolyte Drink,,C:\Users\anbal\Downloads\slaverry\Health\Health.xlsx,Health
2025-11-03,,Electrolyte Drink,,C:\Users\anbal\Downloads\slaverry\Health\Health.xlsx,Health
2025-11-02,,,,C:\Users\anbal\Downloads\slaverry\Relationship\Relationship.xlsx,Relationship
2025-10-26,,,,C:\Users\anbal\Downloads\setback\Career\Career.xlsx,Job Application
2025-10-26,129.2,2 Electrolyte Drink,60 Bicep Curls,C:\Users\anbal\Downloads\setback\Health\Health.xlsx,Health
2025-10-27,128.6,Electrolyte Drink,120 Bicep Curls,C:\Users\anbal\Downloads\setback\Health\Health.xlsx,Health
2025-10-26,,,,C:\Users\anbal\Downloads\setback\Mental Health\Mental Health.xlsx,Wirehead
2025-10-26,,,,C:\Users\anbal\Downloads\setback\Relationship\Relationship.xlsx,Relationship
2025-10-26,,,,C:\Users\anbal\Downloads\setback\Wealth\Wealth.xlsx,Expenditure
2025-10-22,,,,C:\Users\anbal\Downloads\samayal\Health\Health.xlsx,Health
2025-06-29,135,4L water,60 Bicep Curls,C:\Users\anbal\Downloads\Sairam Anbalagan\3 crores\Routine.xlsx,Health
2025-07-13,134.4,2 Black Coffee,60 Bicep Curls,C:\Users\anbal\Downloads\Sairam Anbalagan\ALIENZZZ\Health.xlsx,Health
2025-07-17,132.2,8L water,60 Bicep Curls,C:\Users\anbal\Downloads\Sairam Anbalagan\Career focused\Health.xlsx,Health
2025-07-18,131.4,10L water,100 Bicep Curls,C:\Users\anbal\Downloads\Sairam Anbalagan\Career focused\Health.xlsx,Health
