Date,Weight,Nutrition,Exercise,Sleep,Hygiene,Food,source_file,source_sheet,Date_raw
2025-07-22,130,2 Black Coffee,100 Bicep Curls,,,,C:\Users\anbal\Downloads\OKOKOK I LEARNT\Health.xlsx,Health,45860
,,2 Electrolyte Drink,100 Shoulder Press,,,,C:\Users\anbal\Downloads\OKOKOK I LEARNT\Health.xlsx,Health,
,,Cod Liver Oil,60 Lateral Raises,,,,C:\Users\anbal\Downloads\OKOKOK I LEARNT\Health.xlsx,Health,
,,20 Almonds,60 Single Arm Row,,,,C:\Users\anbal\Downloads\OKOKOK I LEARNT\Health.xlsx,Health,
,,380 Pumpkin seed,60 Kettle Twists,,,,C:\Users\anbal\Downloads\OKOKOK I LEARNT\Health.xlsx,Health,
,,Bistro Salad,60 Kettle Swings,,,,C:\Users\anbal\Downloads\OKOKOK I LEARNT\Health.xlsx,Health,
,,Chicken Gravy,10000 steps,,,,C:\Users\anbal\Downloads\OKOKOK I LEARNT\Health.xlsx,Health,
,,Vitamin Drink,,,,,C:\Users\anbal\Downloads\OKOKOK I LEARNT\Health.xlsx,Health,
2025-07-23,131.2,Black Coffeee,100 Bicep Curls,,,,C:\Users\anbal\Downloads\OKOKOK I LEARNT\Health.xlsx,Health,45861
,,2 Electrolyte Drink,100 Shoulder Press,,,,C:\Users\anbal\Downloads\OKOKOK I LEARNT\Health.xlsx,Health,
,,Cod Liver Oil,60 Shoulder Press,,,,C:\Users\anbal\Downloads\OKOKOK I LEARNT\Health.xlsx,Health,
,,30 Almonds,60 Lateral Raises,,,,C:\Users\anbal\Downloads\OKOKOK I LEARNT\Health.xlsx,Health,
,,70 Pumpkin seeds,60 Kettle Twists,,,,C:\Users\anbal\Downloads\OKOKOK I LEARNT\Health.xlsx,Health,
,,Chicken Gravy,60 Kettle Swings,,,,C:\Users\anbal\Downloads\OKOKOK I LEARNT\Health.xlsx,Health,
,,,13100 steps,,,,C:\Users\anbal\Downloads\OKOKOK I LEARNT\Health.xlsx,Health,
,,,100 Bicep Curls,,,,C:\Users\anbal\Downloads\OKOKOK I LEARNT\Health.xlsx,Health,
