Date,Weight,Nutrition,Exercise,Sleep,Hygiene,Food,Date_raw,Date_parsed
,,,,,,,nan,
,,,,,,,nan,
,,,60 Single Arm Row,,,40 Almonds,nan,
,139.2,,60 Bicep Curls,06:00:00,Brush,2 Black Coffee,45832.0,
,,,60 Shoulder Press,23:45:00,Bath,3 Electrolyte Drink,nan,
,,,80 Lateral Raises,,,Cod Liver Oil,nan,
,,,14700 steps,,,,nan,
,136.6,,60 Bicep Curls,08:00:00,Brush,Black Coffee,45833.0,
,,,60 Shoulder Press,22:00:00,Bath,Electrolyte Drink,nan,
,,,15900 steps,,,Mas+ drink,nan,
,136.4,,60 Bicep Curls,,Bruth,Black Coffee,45834.0,
,,,60 Shoulder Press,,,Electrolyte Drink,nan,
,,,10000 steps,,,Mas+ drink,nan,
,,,,,,Pumpkin seeds,nan,
,132.0,8L water,100 Bicep Curls,,Brush,,45858.0,
,,Black Coffee,100 Shoulder Press,,Bath,,nan,
,,Green Tea,60 Single Arm Row,,Vaccum room,,nan,
,,2 Electrolyte Drink,60 Lateral Raises,,Vaccum stairs,,nan,
,,Cod Liver Oil,60 Kettle Twists,,Vaccum washroom,,nan,
,,40 Pumpkin seeds,60 Kettle Swings,,,,nan,
,,100 Cashew Nuts,11700 steps,,,,nan,
