Date,Weight,Nutrition,Exercise,Sleep,Hygiene,Food,source_file,source_sheet,Date_parsed,Date_fixed
,,,120 Bicep Curls,,,,C:\Users\anbal\Downloads\youtube clash royale hijack\Health\Health.xlsx,Health,,
,,,120 Shoulder Press,,,,C:\Users\anbal\Downloads\youtube clash royale hijack\Health\Health.xlsx,Health,,
,,,120 Bicep Curls,,,,C:\Users\anbal\Downloads\youtube clash royale hijack\Health\Health.xlsx,Health,,
,,,120 Shoulder Press,,,,C:\Users\anbal\Downloads\youtube clash royale hijack\Health\Health.xlsx,Health,,
,,,60 Lateral Raises,,,,C:\Users\anbal\Downloads\youtube clash royale hijack\Health\Health.xlsx,Health,,
SP,,,,,,,C:\Users\anbal\Downloads\whathaveigotteninto\Hobby\Eve Online.xlsx,Eve Online,,
ISK,,,,,,,C:\Users\anbal\Downloads\whathaveigotteninto\Hobby\Eve Online.xlsx,Eve Online,,
,,,,,,,C:\Users\anbal\Downloads\this is wayyy failure\Y1Q1\Expenditure.xlsx,Expenditure,,
,,,,,,,C:\Users\anbal\Downloads\this is wayyy failure\Y1Q1\Expenditure.xlsx,Expenditure,,
,,,,,,,C:\Users\anbal\Downloads\this is wayyy failure\Y1Q1\Expenditure.xlsx,Expenditure,,
,,,,,,,C:\Users\anbal\Downloads\this is wayyy failure\Y1Q1\Expenditure.xlsx,Expenditure,,
,,,,,,,C:\Users\anbal\Downloads\this is wayyy failure\Y1Q1\Expenditure.xlsx,Expenditure,,
,,2 Black Coffee,100 Shoulder Press,,,,C:\Users\anbal\Downloads\this is wayyy failure\Y1Q1\Health.xlsx,Health,,
,,2 Electrolyte Drink,60 Single Arm Row,,,,C:\Users\anbal\Downloads\this is wayyy failure\Y1Q1\Health.xlsx,Health,,
,,Cod Liver Oil,60 Lateral Raises,,,,C:\Users\anbal\Downloads\this is wayyy failure\Y1Q1\Health.xlsx,Health,,
,,65 Almonds,100 Kettle Twists,,,,C:\Users\anbal\Downloads\this is wayyy failure\Y1Q1\Health.xlsx,Health,,
,,Chicken Gravy,60 Kettle Swings,,,,C:\Users\anbal\Downloads\this is wayyy failure\Y1Q1\Health.xlsx,Health,,
,,Vanilla Protein Drink,6500 steps,,,,C:\Users\anbal\Downloads\this is wayyy failure\Y1Q1\Health.xlsx,Health,,
,,Veggie Protein Snack,,,,,C:\Users\anbal\Downloads\this is wayyy failure\Y1Q1\Health.xlsx,Health,,
,,Chicken Roasted Bites,,,,,C:\Users\anbal\Downloads\this is wayyy failure\Y1Q1\Health.xlsx,Health,,
,,Vitamin Water,,,,,C:\Users\anbal\Downloads\this is wayyy failure\Y1Q1\Health.xlsx,Health,,
,,Protein Bar,,,,,C:\Users\anbal\Downloads\this is wayyy failure\Y1Q1\Health.xlsx,Health,,
,,,,,,,C:\Users\anbal\Downloads\THIS IS FINAL FAILURE\Career\Career.xlsx,Job Application,,
,,,,,,,C:\Users\anbal\Downloads\THIS IS FINAL FAILURE\Career\Career.xlsx,Job Application,,
,,,,,,,C:\Users\anbal\Downloads\THIS IS FINAL FAILURE\Career\Career.xlsx,Job Application,,
,,,,,,,C:\Users\anbal\Downloads\THIS IS FINAL FAILURE\Career\Career.xlsx,Job Application,,
,,,,,,,C:\Users\anbal\Downloads\THIS IS FINAL FAILURE\Career\Career.xlsx,Job Application,,
,,,,,,,C:\Users\anbal\Downloads\THIS IS FINAL FAILURE\Career\Career.xlsx,Job Application,,
,,,,,,,C:\Users\anbal\Downloads\THIS IS FINAL FAILURE\Career\Career.xlsx,Job Application,,
,,,,,,,C:\Users\anbal\Downloads\THIS IS FINAL FAILURE\Career\Career.xlsx,Job Application,,
,,,,,,,C:\Users\anbal\Downloads\THIS IS FINAL FAILURE\Career\Career.xlsx,Job Application,,
,,,,,,,C:\Users\anbal\Downloads\THIS IS FINAL FAILURE\Career\Career.xlsx,Job Application,,
,,,,,,,C:\Users\anbal\Downloads\THIS IS FINAL FAILURE\Career\Career.xlsx,Job Application,,
,,,,,,,C:\Users\anbal\Downloads\THIS IS FINAL FAILURE\Career\Career.xlsx,Job Application,,
,,,,,,,C:\Users\anbal\Downloads\THIS IS FINAL FAILURE\Career\Career.xlsx,Job Application,,
,,,,,,,C:\Users\anbal\Downloads\THIS IS FINAL FAILURE\Career\Career.xlsx,Job Application,,
,,,,,,,C:\Users\anbal\Downloads\THIS IS FINAL FAILURE\Career\Career.xlsx,Job Application,,
,,Cod Liver Oil,120 Shoulder Press,,Bath,,C:\Users\anbal\Downloads\THIS IS FINAL FAILURE\Health\Health.xlsx,Health,,
,,2 Black Coffee,60 Lateral Raises,,,,C:\Users\anbal\Downloads\THIS IS FINAL FAILURE\Health\Health.xlsx,Health,,
,,Chicken Biryani,60 Single Arm Row,,,,C:\Users\anbal\Downloads\THIS IS FINAL FAILURE\Health\Health.xlsx,Health,,
,,60 Almonds,60 Kettle Twists,,,,C:\Users\anbal\Downloads\THIS IS FINAL FAILURE\Health\Health.xlsx,Health,,
,,Spinach,60 Kettle Swings,,,,C:\Users\anbal\Downloads\THIS IS FINAL FAILURE\Health\Health.xlsx,Health,,
,,Camomile Drink,4223 steps,,,,C:\Users\anbal\Downloads\THIS IS FINAL FAILURE\Health\Health.xlsx,Health,,
,,Cod Liver Oil,,,,,C:\Users\anbal\Downloads\THIS IS FINAL FAILURE\Health\Health.xlsx,Health,,
,,Black Coffee,,,,,C:\Users\anbal\Downloads\THIS IS FINAL FAILURE\Health\Health.xlsx,Health,,
,,,120 Shoulder Press,,,,C:\Users\anbal\Downloads\THIS IS END\Health\Health.xlsx,Health,,
,,2 Black Coffee,60 Shoulder Press,,,,C:\Users\anbal\Downloads\THE CYCLE CONTINOUES\Health\Health.xlsx,Health,,
,,Cod Liver Oil,60 Lateral Raises,,,,C:\Users\anbal\Downloads\THE CYCLE CONTINOUES\Health\Health.xlsx,Health,,
,,Spinach,60 Single Arm Row,,,,C:\Users\anbal\Downloads\THE CYCLE CONTINOUES\Health\Health.xlsx,Health,,
,,34 Almonds,60 Kettle Twists,,,,C:\Users\anbal\Downloads\THE CYCLE CONTINOUES\Health\Health.xlsx,Health,,
,,Chicken Gravy,60 Kettle Swings,,,,C:\Users\anbal\Downloads\THE CYCLE CONTINOUES\Health\Health.xlsx,Health,,
,,Club Tropical Soda,10000 steps,,,,C:\Users\anbal\Downloads\THE CYCLE CONTINOUES\Health\Health.xlsx,Health,,
,,Vitamin Water,,,,,C:\Users\anbal\Downloads\THE CYCLE CONTINOUES\Health\Health.xlsx,Health,,
,,,60 Bicep Curls,,,,C:\Users\anbal\Downloads\THE CYCLE CONTINOUES\Health\Health.xlsx,Health,,
,,,60 Shoulder Press,,,,C:\Users\anbal\Downloads\THE CYCLE CONTINOUES\Health\Health.xlsx,Health,,
,,,60 Single Arm Row,,,,C:\Users\anbal\Downloads\THE CYCLE CONTINOUES\Health\Health.xlsx,Health,,
,,,60 Lateral Raises,,,,C:\Users\anbal\Downloads\THE CYCLE CONTINOUES\Health\Health.xlsx,Health,,
,,,60 Kettle Twists,,,,C:\Users\anbal\Downloads\THE CYCLE CONTINOUES\Health\Health.xlsx,Health,,
,,,,,,,C:\Users\anbal\Downloads\THE CYCLE CONTINOUES\Health\Health.xlsx,Health,,
,,,60 Bicep Curls,,,,C:\Users\anbal\Downloads\THE CYCLE CONTINOUES\Health\Health.xlsx,Health,,
,,,60 Shoulder Press,,,,C:\Users\anbal\Downloads\THE CYCLE CONTINOUES\Health\Health.xlsx,Health,,
,,,,,,,C:\Users\anbal\Downloads\THE CYCLE CONTINOUES\Wealth\Wealth.xlsx,Expenditure,,
,,,,,,,C:\Users\anbal\Downloads\THE CYCLE CONTINOUES\Wealth\Wealth.xlsx,Expenditure,,
,,,,,,,C:\Users\anbal\Downloads\THE CYCLE CONTINOUES\Wealth\Wealth.xlsx,Expenditure,,
,,,,,,,C:\Users\anbal\Downloads\THE CYCLE CONTINOUES\Wealth\Wealth.xlsx,Expenditure,,
,,,,,,,C:\Users\anbal\Downloads\THE CYCLE CONTINOUES\Wealth\Wealth.xlsx,Expenditure,,
,,,,,,,C:\Users\anbal\Downloads\THE CYCLE CONTINOUES\Wealth\Wealth.xlsx,Expenditure,,
,,,,,,,C:\Users\anbal\Downloads\THE CYCLE CONTINOUES\Wealth\Wealth.xlsx,Expenditure,,
,,Cod Liver Oil,60 Shoulder Press,,Bath,,C:\Users\anbal\Downloads\Tamilakam\Health\Health.xlsx,Health,,
,,2 Black Coffee,60 Lateral Raises,,,,C:\Users\anbal\Downloads\Tamilakam\Health\Health.xlsx,Health,,
,,70 Pumpkin Seeds,60 Single Arm Row,,,,C:\Users\anbal\Downloads\Tamilakam\Health\Health.xlsx,Health,,
,,20 Almonds,60 Kettle Twists,,,,C:\Users\anbal\Downloads\Tamilakam\Health\Health.xlsx,Health,,
,,Skyr,60 Kettle Swings,,,,C:\Users\anbal\Downloads\Tamilakam\Health\Health.xlsx,Health,,
,,Chicken Biryani,8000 steps,,,,C:\Users\anbal\Downloads\Tamilakam\Health\Health.xlsx,Health,,
,,,,,,,C:\Users\anbal\Downloads\Tamilakam\Mental Health\Mental Health.xlsx,Addiction,,
,,,,,,,C:\Users\anbal\Downloads\Tamilakam\Mental Health\Mental Health.xlsx,Addiction,,
,,,,,,,C:\Users\anbal\Downloads\Tamilakam\Mental Health\Mental Health.xlsx,Addiction,,
,,,,,,,C:\Users\anbal\Downloads\Tamilakam\Mental Health\Mental Health.xlsx,Addiction,,
,,,,,,,C:\Users\anbal\Downloads\Tamilakam\Mental Health\Mental Health.xlsx,Addiction,,
,,,,,,,C:\Users\anbal\Downloads\systemmmm\Hobby\Hobby.xlsx,TV Series,,
,,,,,,,C:\Users\anbal\Downloads\systemmmm\Hobby\Hobby.xlsx,TV Series,,
,,,,,,,C:\Users\anbal\Downloads\systemmmm\Hobby\Hobby.xlsx,TV Series,,
,,,,,,,C:\Users\anbal\Downloads\systemmmm\Hobby\Hobby.xlsx,TV Series,,
,,,,,,,C:\Users\anbal\Downloads\systemmmm\Hobby\Hobby.xlsx,TV Series,,
,,,,,,,C:\Users\anbal\Downloads\systemmmm\Hobby\Hobby.xlsx,TV Series,,
,,,,,,,C:\Users\anbal\Downloads\systemmmm\Hobby\Hobby.xlsx,TV Series,,
,,Black Coffee,,,,,C:\Users\anbal\Downloads\slaverry\Health\Health.xlsx,Health,,
,,Cod Liver Oil,,,,,C:\Users\anbal\Downloads\slaverry\Health\Health.xlsx,Health,,
,,105 Almonds,,,,,C:\Users\anbal\Downloads\slaverry\Health\Health.xlsx,Health,,
,,Chicken Wings Fry,,,,,C:\Users\anbal\Downloads\slaverry\Health\Health.xlsx,Health,,
,,Spinach,,,,,C:\Users\anbal\Downloads\slaverry\Health\Health.xlsx,Health,,
,,,,,,,C:\Users\anbal\Downloads\slaverry\Health\Health.xlsx,Health,,
,,Black Coffee,,,,,C:\Users\anbal\Downloads\slaverry\Health\Health.xlsx,Health,,
,,Cod Liver Oil,,,,,C:\Users\anbal\Downloads\slaverry\Health\Health.xlsx,Health,,
,,60 Almonds,,,,,C:\Users\anbal\Downloads\slaverry\Health\Health.xlsx,Health,,
,,,,,,,C:\Users\anbal\Downloads\slaverry\Relationship\Relationship.xlsx,Relationship,,
,,,,,,,C:\Users\anbal\Downloads\setback\Career\Career.xlsx,Job Application,,
,,,,,,,C:\Users\anbal\Downloads\setback\Career\Career.xlsx,Job Application,,
,,,,,,,C:\Users\anbal\Downloads\setback\Career\Career.xlsx,Job Application,,
,,2 Black Coffee,60 Shoulder Press,,,,C:\Users\anbal\Downloads\setback\Health\Health.xlsx,Health,,
,,Cod Liver Oil,60 Lateral Raises,,,,C:\Users\anbal\Downloads\setback\Health\Health.xlsx,Health,,
,,60 Almonds,60 Single Arm Row,,,,C:\Users\anbal\Downloads\setback\Health\Health.xlsx,Health,,
,,Spinach,60 Kettle Twists,,,,C:\Users\anbal\Downloads\setback\Health\Health.xlsx,Health,,
,,Chicken Wings Gravy,60 Kettle Swings,,,,C:\Users\anbal\Downloads\setback\Health\Health.xlsx,Health,,
,,Yogurt,11200 steps,,,,C:\Users\anbal\Downloads\setback\Health\Health.xlsx,Health,,
,,Black Coffee,120 Shoulder Press,,,,C:\Users\anbal\Downloads\setback\Health\Health.xlsx,Health,,
,,Cod Liver Oil,40 Lateral Raises,,,,C:\Users\anbal\Downloads\setback\Health\Health.xlsx,Health,,
,,20 Almonds,,,,,C:\Users\anbal\Downloads\setback\Health\Health.xlsx,Health,,
,,,,,,,C:\Users\anbal\Downloads\setback\Wealth\Wealth.xlsx,Expenditure,,
,,,,,,,C:\Users\anbal\Downloads\setback\Wealth\Wealth.xlsx,Expenditure,,
,,,,,,,C:\Users\anbal\Downloads\setback\Wealth\Wealth.xlsx,Expenditure,,
,,Electrolyte Drink,60 Shoulder Press,22:00:00,,,C:\Users\anbal\Downloads\Sairam Anbalagan\3 crores\Routine.xlsx,Health,,
,,Cod Liver Oil,60 Lateral Raises,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\3 crores\Routine.xlsx,Health,,
,,Black Coffee,60 Single Arm Row,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\3 crores\Routine.xlsx,Health,,
,,20 Almonds,60 Kettle Twists,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\3 crores\Routine.xlsx,Health,,
,,50 Pumpkin seeds,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\3 crores\Routine.xlsx,Health,,
,,Spinach,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\3 crores\Routine.xlsx,Health,,
,,Chicken Gravy,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\3 crores\Routine.xlsx,Health,,
,,2 Electrolyte Drink,60 Shoulder Press,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\ALIENZZZ\Health.xlsx,Health,,
,,Cod Liver Oil,60 Single Arm Row,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\ALIENZZZ\Health.xlsx,Health,,
,,20 Pumpkin seeds,60 Lateral Raises,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\ALIENZZZ\Health.xlsx,Health,,
,,20 Almonds,60 Kettle Twists,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\ALIENZZZ\Health.xlsx,Health,,
,,Spinach,60 Kettle Swings,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\ALIENZZZ\Health.xlsx,Health,,
,,Chicken Gravy,10000 steps,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\ALIENZZZ\Health.xlsx,Health,,
,,8L water,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\ALIENZZZ\Health.xlsx,Health,,
,,2 Black Coffee,60 Shoulder Press,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Career focused\Health.xlsx,Health,,
,,3 Electrolyte Drink,60 Lateral Raises,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Career focused\Health.xlsx,Health,,
,,Cod Liver Oil,60 Single Arm Row,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Career focused\Health.xlsx,Health,,
,,260 Pumpkin seeds,60 Kettle Twists,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Career focused\Health.xlsx,Health,,
,,40 Almonds,60 Kettle Swings,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Career focused\Health.xlsx,Health,,
,,Spinach,8300 steps,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Career focused\Health.xlsx,Health,,
,,Chicken Gravy,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Career focused\Health.xlsx,Health,,
,,2 Aloo Tikki,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Career focused\Health.xlsx,Health,,
,,Black Coffee,100 Shoulder Press,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Career focused\Health.xlsx,Health,,
,,Electrolyte Drink,60 Single Arm Row,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Career focused\Health.xlsx,Health,,
,,Whey Protein,60 Lateral Raises,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Career focused\Health.xlsx,Health,,
,,Cod Liver Oil,60 Kettle Twists,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Career focused\Health.xlsx,Health,,
,,390 Pumpkin seeds,60 Kettle Swings,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Career focused\Health.xlsx,Health,,
,,20 Almonds,10000 steps,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Career focused\Health.xlsx,Health,,
,,Spinach,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Career focused\Health.xlsx,Health,,
,,Chicken Gravy,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Career focused\Health.xlsx,Health,,
,,Coke Zero Vanilla,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Career focused\Health.xlsx,Health,,
,,3 Electrolyte Drink,100 Shoulder Press,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Career focused\Health.xlsx,Health,,
,,2 Black Coffee,60 Single Arm Row,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Career focused\Health.xlsx,Health,,
,,Whey Protein,60 Lateral Raises,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Career focused\Health.xlsx,Health,,
,,Cod Liver Oil,60 Kettle Twists,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Career focused\Health.xlsx,Health,,
,,20 Almonds,60 Kettle Swings,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Career focused\Health.xlsx,Health,,
,,40 Cashews,8700 steps,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Career focused\Health.xlsx,Health,,
,,160 Pumpkin seeds,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Career focused\Health.xlsx,Health,,
,,Spinach,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Career focused\Health.xlsx,Health,,
,,Radish Paratha,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Career focused\Health.xlsx,Health,,
,,Chicken Gravy,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Career focused\Health.xlsx,Health,,
,,,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Career focused\Hobby.xlsx,Comics,,
,,,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Career focused\Hobby.xlsx,Comics,,
,,,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Career focused\Hobby.xlsx,Comics,,
,,,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Career focused\Hobby.xlsx,Comics,,
,,,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Career focused\Hobby.xlsx,Comics,,
,,,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Career focused\Hobby.xlsx,Comics,,
,,Electrolyte Drink,60 Shoulder Press,22:00:00,,,C:\Users\anbal\Downloads\Sairam Anbalagan\dolun\Health.xlsx,Health,,
,,Black Coffee,60 Lateral Raises,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\dolun\Health.xlsx,Health,,
,,20 Almonds,60 Single Arm Row,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\dolun\Health.xlsx,Health,,
,,Rice and Chicken Gravy,60 Kettle Twists,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\dolun\Health.xlsx,Health,,
,,,60 Kettle Swings,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\dolun\Health.xlsx,Health,,
,,,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\dolun\Hobby.xlsx,Movies,,
,,,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\dolun\Hobby.xlsx,Movies,,
,,,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\dolun\Hobby.xlsx,Movies,,
,,,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\dolun\Hobby.xlsx,Movies,,
,,,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\dolun\Hobby.xlsx,Movies,,
,,,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\dolun\Hobby.xlsx,Movies,,
,,,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\dolun\Hobby.xlsx,Movies,,
,,2 Black Coffee,100 Shoulder Press,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\DOOMED TO FAIL\Health.xlsx,Health,,
,,2 Electrolyte Drink,100 Lateral Raises,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\DOOMED TO FAIL\Health.xlsx,Health,,
,,Cod Liver Oil,20 Single Arm Row,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\DOOMED TO FAIL\Health.xlsx,Health,,
,,400 Pumpkin seeds,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\DOOMED TO FAIL\Health.xlsx,Health,,
,,30 Almonds,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\DOOMED TO FAIL\Health.xlsx,Health,,
,,Chicken Wings,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\DOOMED TO FAIL\Health.xlsx,Health,,
,,Electrolyte Drink,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\DOPAMINE SLAVE\Routine.xlsx,Health,,
,,Cod Liver Oil,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\DOPAMINE SLAVE\Routine.xlsx,Health,,
,,40 Almonds,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\DOPAMINE SLAVE\Routine.xlsx,Health,,
,,Spinach,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\DOPAMINE SLAVE\Routine.xlsx,Health,,
,,4L water,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\DOPAMINE SLAVE\Routine.xlsx,Health,,
,,2 Black Coffee,60 Shoulder Press,22:00:00,,,C:\Users\anbal\Downloads\Sairam Anbalagan\eren yaeagerwoken\Health.xlsx,Health,,
,,2 Electrolyte Drink,60 Lateral Raises,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\eren yaeagerwoken\Health.xlsx,Health,,
,,Cod Liver Oil,60 Single Arm Row,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\eren yaeagerwoken\Health.xlsx,Health,,
,,330 Pumpkin seeds,60 Kettle Twists,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\eren yaeagerwoken\Health.xlsx,Health,,
,,20 Almonds,60 Kettle Swings,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\eren yaeagerwoken\Health.xlsx,Health,,
,,Spinach,10000 steps,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\eren yaeagerwoken\Health.xlsx,Health,,
,,Chicken Gravy,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\eren yaeagerwoken\Health.xlsx,Health,,
,,Protein Shake,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\eren yaeagerwoken\Health.xlsx,Health,,
,,Vitamin water,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\eren yaeagerwoken\Health.xlsx,Health,,
,,7 up Zero,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\eren yaeagerwoken\Health.xlsx,Health,,
,,Roasted Nuts,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\eren yaeagerwoken\Health.xlsx,Health,,
,,,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\eren yaeagerwoken\Hobby.xlsx,Movie,,
,,,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\eren yaeagerwoken\Hobby.xlsx,Movie,,
,,,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\eren yaeagerwoken\Hobby.xlsx,Movie,,
,,,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\eren yaeagerwoken\Hobby.xlsx,Movie,,
,,,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\eren yaeagerwoken\Hobby.xlsx,Movie,,
,,,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\eren yaeagerwoken\Hobby.xlsx,Movie,,
,,,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\eren yaeagerwoken\Hobby.xlsx,Movie,,
,,,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\eren yaeagerwoken\Hobby.xlsx,Movie,,
,,,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\eren yaeagerwoken\Hobby.xlsx,Movie,,
,,,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\eren yaeagerwoken\Wealth.xlsx,Expenditure,,
,,,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\eren yaeagerwoken\Wealth.xlsx,Expenditure,,
,,,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\eren yaeagerwoken\Wealth.xlsx,Expenditure,,
,,,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\eren yaeagerwoken\Wealth.xlsx,Expenditure,,
,,,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\eren yaeagerwoken\Wealth.xlsx,Expenditure,,
,,,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\eren yaeagerwoken\Wealth.xlsx,Expenditure,,
,,,60 Shoulder Press,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Game\Health.xlsx,Health,,
,,,20 Lateral Raises,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Game\Health.xlsx,Health,,
,,,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Game\Health.xlsx,Health,,
,,,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Game\Health.xlsx,Health,,
,,,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Game\Health.xlsx,Health,,
,,2 Black Coffee,120 Shoulder Press,22:00:00,,,C:\Users\anbal\Downloads\Sairam Anbalagan\I hate hollywood\Health.xlsx,Health,,
,,2 Electrolyte Drink,100 Lateral Raises,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\I hate hollywood\Health.xlsx,Health,,
,,Cod Liver Oil,60 Shoulder Raises,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\I hate hollywood\Health.xlsx,Health,,
,,20 Almonds,60 Kettle Twists,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\I hate hollywood\Health.xlsx,Health,,
,,Spinach,60 Kettle Swings,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\I hate hollywood\Health.xlsx,Health,,
,,Chicken Gravy,11300 steps,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\I hate hollywood\Health.xlsx,Health,,
,,7 up pink,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\I hate hollywood\Health.xlsx,Health,,
,,Vitamin Water,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\I hate hollywood\Health.xlsx,Health,,
,,2 Black Coffee,120 Shoulder Press,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\I hate hollywood\Health.xlsx,Health,,
,,Electrolyte Drink,120 Lateral Raises,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\I hate hollywood\Health.xlsx,Health,,
,,Cod Liver Oil,60 Shoulder Press,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\I hate hollywood\Health.xlsx,Health,,
,,50 Pumpkin seeds,60 Kettle Twists,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\I hate hollywood\Health.xlsx,Health,,
,,20 Almonds,30 Kettle Swings,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\I hate hollywood\Health.xlsx,Health,,
,,Spinach,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\I hate hollywood\Health.xlsx,Health,,
,,,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\I hate hollywood\Wealth.xlsx,Wealth,,
,,,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\I hate hollywood\Wealth.xlsx,Wealth,,
,,,,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\I hate hollywood\Wealth.xlsx,Wealth,,
